,rank,names,nationality,gender,age_category,time,race
1242,1243,Diego Guillermo AMENDOLA,Argentina,Men,50-54,12:55:56,OCC
1243,1244,Javier RUBIÑO RUIZ,Spain,Men,20-34,12:56:13,OCC
1244,1245,Martin HESSION,Ireland,Men,50-54,12:56:51,OCC
1245,1245,Paul THOMPSON,United Kingdom,Men,45-49,12:56:51,OCC
1246,1247,Youngjun KIM,South Korea,Men,35-39,12:58:04,OCC
1247,1248,Andrea MORESCHINI,Italy,Men,55-59,12:58:06,OCC
1248,1249,Shabeer EBRAHIM,South Africa,Men,50-54,12:59:24,OCC
1249,1250,Shinyoung KANG,South Korea,Women,45-49,12:59:29,OCC
1250,1251,Zilan CAI,China,Women,45-49,13:03:07,OCC
1251,1252,Olivier GOUR,France,Men,50-54,13:03:10,OCC
1252,1253,Philip SNYDER,United States of america,Men,55-59,13:03:20,OCC
1253,1254,John TSOU,United States of america,Men,45-49,13:03:41,OCC
1254,1255,Muzamal MOHAMMED,United Kingdom,Men,45-49,13:04:41,OCC
1255,1256,Gonzalo Alexis CASTILLO,Argentina,Men,35-39,13:05:11,OCC
1256,1257,Qi HUANG,China,Men,20-34,13:05:57,OCC
1257,1258,Jie LIU,China,Women,20-34,13:05:59,OCC
1258,1259,Mushuang LIU,United States of america,Women,55-59,13:06:01,OCC
1259,1260,Adrian TARDITTI,Argentina,Men,55-59,13:06:03,OCC
1260,1261,Maxime MUGARD,France,Men,40-44,13:06:06,OCC
1261,1262,Carles RIBAS NOGUER,Spain,Men,50-54,13:07:02,OCC
1262,1263,Rafael RETANA,Costa Rica,Men,65-69,13:08:10,OCC
1263,1264,Pin LYU,China,Men,45-49,13:09:04,OCC
1264,1265,Li ZHU,China,Women,40-44,13:09:26,OCC
1265,1266,Anonymous,France,Men,20-34,13:09:49,OCC
1266,1267,Joachim VITTE,Germany,Men,55-59,13:10:03,OCC
1267,1268,Andrei ZLATE,United States of america,Men,45-49,13:10:14,OCC
1268,1269,David AITKEN,Canada,Men,35-39,13:10:34,OCC
1269,1270,Anonymous,Canada,Men,45-49,13:12:09,OCC
1270,1271,Jianli GU,China,Women,40-44,13:12:15,OCC
1271,1272,Lee Lee TAN,Malaysia,Women,45-49,13:12:21,OCC
1272,1273,Vlad HUREZEANU,Romania,Men,40-44,13:12:22,OCC
1273,1274,Siriporn VASUTHEPRUK,Thailand,Women,55-59,13:12:32,OCC
1274,1275,Anonymous,"Hong Kong, China",Men,35-39,13:12:49,OCC
1275,1276,Gao YUAN (Yuan GAO),"Hong Kong, China",Men,65-69,13:12:50,OCC
1276,1277,Sui Ling LUI,"Hong Kong, China",Women,55-59,13:13:31,OCC
1277,1278,Gustavo Daniel CIVAROLO,Argentina,Men,65-69,13:14:11,OCC
1278,1279,Lai Lok Gary LUM,"Hong Kong, China",Men,50-54,13:14:54,OCC
1279,1280,Romain HENRIOT,France,Men,45-49,13:15:55,OCC
1280,1281,Philippe VINOCHE,France,Men,50-54,13:16:43,OCC
1281,1282,Dustin PARKINSON,New Zealand,Men,20-34,13:17:14,OCC
1282,1283,Diane THEIN,United States of america,Women,55-59,13:17:28,OCC
