,rank,names,nationality,gender,age_category,time,race
775,776,Kleber Gabriel ARGUELLO NEGRETE,Spain,Men,35-39,03:23:23,ETC
776,777,Michael ROSENBERGER,France,Men,35-39,03:23:32,ETC
777,778,Paul HUDDLE,United States of america,Men,60-64,03:23:45,ETC
778,779,Annette IRELAND,United Kingdom,Women,60-64,03:23:54,ETC
779,780,Milagros NORES TONNELIER,Argentina,Women,40-44,03:24:00,ETC
780,781,Steven COLLARD,France,Men,20-34,03:24:10,ETC
781,782,Camilla Sofie HAUKEBERG SKAAR,Norway,Women,35-39,03:24:12,ETC
782,782,Lisa MINET,France,Women,20-34,03:24:12,ETC
783,784,Perrine BLACHON,France,Women,20-34,03:24:15,ETC
784,785,Carl PERLEIN,France,Men,20-34,03:24:19,ETC
785,786,Fanny VIOLON,France,Women,20-34,03:24:31,ETC
786,787,Alma Rún ÓLAFSDÓTTIR (Alma Run OLAFSDOTTIR),Iceland,Women,40-44,03:24:42,ETC
787,788,Joan VENDRELL,Spain,Men,35-39,03:24:50,ETC
788,789,Kévin RUA,Portugal,Men,20-34,03:24:52,ETC
789,790,Pierre-Yves CHAYS,France,Men,75-79,03:25:02,ETC
790,790,Fanny CHAYS,France,Women,35-39,03:25:02,ETC
791,792,Guillaume CARENCO,France,Men,45-49,03:25:14,ETC
792,793,Hrvoje JAPUNCIC,Croatia,Men,50-54,03:25:32,ETC
793,794,Julie LEPAULLE,France,Women,20-34,03:25:33,ETC
794,795,Arthur DECROIX,France,Men,20-34,03:25:34,ETC
795,796,Stella BANDINU,France,Women,35-39,03:25:35,ETC
796,797,Thomas VERGONZANNE,France,Men,35-39,03:25:36,ETC
